IDM_;SLTC;1;CmdVHiOpWrn;Indication of alarm by command voltage during oscillography - High;HR17173B14 - Indication of alarm by command voltage during oscillography - High;
IDM_;SLTC;1;CmdVHiOpAlm;Indication of alarm by command voltage during oscillography - Very high;HR17173B15 - Indication of alarm by command voltage during oscillography - Very high;
IDM_;SLTC;1;OscLoOpWh2;Indication of alarm by operation energy - Very low;HR17174B0 - Indication of alarm by operation energy - Very low;
IDM_;SLTC;1;OscLoOpWh1;Indication of alarm by operation energy - Low;HR17174B1 - Indication of alarm by operation energy - Low;
IDM_;SLTC;1;OscHiOpWh1;Indication of alarm by operation energy - High;HR17174B2 - Indication of alarm by operation energy - High;
IDM_;SLTC;1;OscHiOpWh2;Indication of alarm by operation energy - Very high;HR17174B3 - Indication of alarm by operation energy - Very high;
IDM_;SLTC;1;OscMotPeakA1;Indication of alarm by peak current - High;HR17175B0 - Indication of alarm by peak current - High;
IDM_;SLTC;1;OscMotPeakA2;Indication of alarm by peak current - Very high;HR17175B1 - Indication of alarm by peak current - Very high;
IDM_;SLTC;1;OscCrvLoAlm;Indication of alarm by cumsumption curve - Under the curve;HR17175B2 - Indication of alarm by cumsumption curve - Under the curve;
IDM_;SLTC;1;OscCrvHiAlm;Indication of alarm by cumsumption curve - Over the curve;HR17175B3 - Indication of alarm by cumsumption curve - Over the curve;
IDM_;LPHD;1;MotMtnRs;Command of reset of motor maintenance;HR19047 - Command of reset of motor maintenance;
IDM_;LPHD;1;DiagMemRs;Command of reset of self-diagnostic memory;HR19086 - Command of reset of self-diagnostic memory;
IDM_;LPHD;1;MemAlmRs1;Command of reset of alarm memory by screen 1;HR19087B0 - Command of reset of alarm memory by screen 1;
IDM_;LPHD;1;MemAlmRs2;Command of reset of alarm memory by screen 2;HR19087B1 - Command of reset of alarm memory by screen 2;
IDM_;LPHD;1;MemAlmRs3;Command of reset of alarm memory by screen 3;HR19087B2 - Command of reset of alarm memory by screen 3;
IDM_;LPHD;1;CntRs;Command of reset of startups number counters and in service time after maintenance;HR19100 - Command of reset of startups number counters and in service time after maintenance;
IDM_;LPHD;1;LogRs;Command of LOG reset;HR19140 - Command of LOG reset;
IDM_;LPHD;1;LrnAlmCmd;Command of automatic alarm learning;HR19145 - Command of automatic alarm learning;
IDM_;LPHD;1;LrnCrvCmd;Indication of automatic reference cumsumption curve learning status;HR21112B0 - Indication of automatic reference cumsumption curve learning status;
IDM_;LPHD;1;LrnCrvCmd;Command of automatic leraning of the consumption reference curve;HR23022 - Command of automatic leraning of the consumption reference curve;
IDM_;SOPM;1;MotNumOp1;Indication of motor operation sequential number - Part 1;HR21005 - Indication of motor operation sequential number - Part 1;
IDM_;SOPM;1;MotNumOp2;Indication of motor operation sequential number - Part 2;HR21006 - Indication of motor operation sequential number - Part 2;
IDM_;SOPM;1;QMotNumOp;Indication of quality of motor operation sequential number;HR21007 - Indication of quality of motor operation sequential number;
IDM_;SLTC;1;EnvTmpOp;Indication of ambient temperature at the operation moment;HR21025 - Indication of ambient temperature at the operation moment;
IDM_;SLTC;1;QEnvTmpOp;Indication of ambient temperature at the operation moment;HR21026 - Indication of ambient temperature at the operation moment;
IDM_;SOPM;1;MecTmpOp;Indication of temperatura do mecanismo no momento da operação;HR21027 - Indication of temperatura do mecanismo no momento da operação;
IDM_;SOPM;1;QMecTmpOp;Indication of quality of temperatura do mecanismo no momento da operação;HR21028 - Indication of quality of temperatura do mecanismo no momento da operação;
IDM_;SLTC;1;TotNumOp3;Indication of total OLTC operation number - First 3 numbers;HR21029 - Indication of total OLTC operation number - First 3 numbers;
IDM_;SLTC;1;TotNumOp4;Indication of total OLTC operation number - Last 3 numbers;HR21030 - Indication of total OLTC operation number - Last 3 numbers;
IDM_;SOPM;1;QTotNumOp2;Indication of quality of total OLTC motor operation number;HR21031 - Indication of quality of total OLTC motor operation number;
IDM_;SLTC;1;TmLastOp1;Indication of time since the last OLTC maintenance - First 3 numbers;HR21032 - Indication of time since the last OLTC maintenance - First 3 numbers;
IDM_;SLTC;1;OscTmLastOp2;Indication of time since the last OLTC maintenance - Last 3 numbers;HR21033 - Indication of time since the last OLTC maintenance - Last 3 numbers;
IDM_;SOPM;1;QTmLastOp;Indication of quality of time since the last OLTC maintenance;HR21034 - Indication of quality of time since the last OLTC maintenance;
IDM_;SLTC;1;StrTap;Indication of OLTC initial tap;HR21035 - Indication of OLTC initial tap;
IDM_;SLTC;1;QStrTap;Indication of quality of OLTC initial tap;HR21036 - Indication of quality of OLTC initial tap;
IDM_;SLTC;1;EndTap;Indication of OLTC last tap;HR21037 - Indication of OLTC last tap;
IDM_;SLTC;1;QEndTap;Indication of quality of OLTC last tap;HR21038 - Indication of quality of OLTC last tap;
IDM_;SOPM;1;PeakA;Indication of motor peak current during motor start;HR21100 - Indication of motor peak current during motor start;
IDM_;SOPM;1;QPeakA;Indication of quality of motor peak current during start;HR21101 - Indication of quality of motor peak current during start;
IDM_;SOPM;1;MotTotWh;Indication of total spent energy by motor for the operation;HR21102 - Indication of total spent energy by motor for the operation;
IDM_;SOPM;1;QMotTotWh;Indication of quality of energia total gasta pelo motor para a operação;HR21103 - Indication of quality of energia total gasta pelo motor para a operação;
IDM_;SOPM;1;MotMinV;Indication of motor supply minimal voltage during operation;HR21104 - Indication of motor supply minimal voltage during operation;
IDM_;SOPM;1;QMotMinV;Indication of quality of motor supply minimal voltage during operation;HR21105 - Indication of quality of motor supply minimal voltage during operation;
IDM_;SOPM;1;MotMaxV;Indication of motor supply maximal voltage during operation;HR21106 - Indication of motor supply maximal voltage during operation;
IDM_;SOPM;1;QMotMaxV;Indication of quality of motor supply maximal voltage during operation;HR21107 - Indication of quality of motor supply maximal voltage during operation;
IDM_;SOPM;1;LastOsc0;Indication of last oscillography that had reference (type 0);HR21119 - Indication of last oscillography that had reference (type 0);
IDM_;SOPM;1;LastOsc1;Indication of last oscillography that had reference (type 1);HR21120 - Indication of last oscillography that had reference (type 1);
IDM_;SOPM;1;LastOsc2;Indication of last oscillography that had reference (type 2);HR21121 - Indication of last oscillography that had reference (type 2);
IDM_;SOPM;1;LastOsc3;Indication of last oscillography that had reference (type 3);HR21122 - Indication of last oscillography that had reference (type 3);
IDM_;SOPM;1;LastOsc4;Indication of last oscillography that had reference (type 4);HR21123 - Indication of last oscillography that had reference (type 4);
IDM_;SOPM;1;MinVOp;Indication of minimal voltage value during oscillography;HR21124 - Indication of minimal voltage value during oscillography;
IDM_;SOPM;1;QMinVOp;Indication of quality of minimal voltage value during oscillography;HR21125 - Indication of quality of minimal voltage value during oscillography;
IDM_;SOPM;1;MaxVOp;Indication of maximal voltage value during oscillography;HR21126 - Indication of maximal voltage value during oscillography;
IDM_;SOPM;1;QMaxVOp;Indication of quality of maximal voltage value during oscillography;HR21127 - Indication of quality of maximal voltage value during oscillography;
IDM_;MMXN;1;EnvTmp;Indication of ambient temperature;HR17000 - Indication of ambient temperature;
IDM_;MMXN;1;QEnvTmp;Indication of quality of temperatura ambiente;HR17001 - Indication of quality of temperatura ambiente;
IDM_;MMXN;1;MecTmp;Indication of mechanism temperature;HR17002 - Indication of mechanism temperature;
IDM_;MMXN;1;QMecTmp;Indication of quality of mechanism temperature;HR17003 - Indication of quality of mechanism temperature;
IDM_;MMXU;1;HeatA;Indication of mechanism heating current;HR17004 - Indication of mechanism heating current;
IDM_;MMXU;1;QHeatA;Indication of quality of mechanism heating current;HR17005 - Indication of quality of mechanism heating current;
IDM_;LPHD;1;PhyNam;Indication of equipment code;HR17007 - Indication of equipment code;
IDM_;LPHD;1;PhyNam;Indication of firmware version;HR17008 - Indication of firmware version;
IDM_;LPHD;1;PhyNam;Indication of serial number 1;HR17009 - Indication of serial number 1;
IDM_;LPHD;1;PhyNam;Indication of serial number 2;HR17010 - Indication of serial number 2;
IDM_;LPHD;1;oDnp;Indication of optional - DNP3;HR17011B0 - Indication of optional - DNP3;
IDM_;LPHD;1;StLrn0;Indication of maneuvers learning status type 0 (no intermediary TAP);HR17012B0 - Indication of maneuvers learning status type 0 (no intermediary TAP);
IDM_;LPHD;1;StLrn1;Indication of maneuvers learning status type 0 (1 intermediary TAP);HR17012B1 - Indication of maneuvers learning status type 0 (1 intermediary TAP);
IDM_;LPHD;1;StLrn2;Indication of maneuvers learning status type 0 (2 intermediaries TAP);HR17012B2 - Indication of maneuvers learning status type 0 (2 intermediaries TAP);
IDM_;LPHD;1;StLrn3;Indication of maneuvers learning status type 0 (3 intermediaries TAP);HR17012B3 - Indication of maneuvers learning status type 0 (3 intermediaries TAP);
IDM_;LPHD;1;StLrn4;Indication of maneuvers learning status type 0 (4 intermediaries TAP);HR17012B4 - Indication of maneuvers learning status type 0 (4 intermediaries TAP);
IDM_;SLTC;1;TapPos;Indication of OLTC tap position;HR17016 - Indication of OLTC tap position;
IDM_;SLTC;1;QTapPos;Indication of quality of OLTC tap position;HR17017 - Indication of quality of OLTC tap position;
IDM_;MMXN;1;Vsv;Indication of sampled voltage on OLTC triggering command;HR17018 - Indication of sampled voltage on OLTC triggering command;
IDM_;MMXN;1;QVsv;Indication of quality of sampled voltage on OLTC triggering command;HR17019 - Indication of quality of sampled voltage on OLTC triggering command;
IDM_;SLTC;1;OscRcdIntv;Indication of interval between successive recordings on oscillography;HR17020 - Indication of interval between successive recordings on oscillography;
IDM_;MMXU;1;DifAngMotA1;Indication of angle difference between voltage and current phases from the first (or only) OLTC motor phase;HR17032 - Indication of angle difference between voltage and current phases from the first (or only) OLTC motor phase;
IDM_;MMXU;1;DifAngMotA2;Indication of angle difference between voltage and current phases from the second OLTC motor phase;HR17033 - Indication of angle difference between voltage and current phases from the second OLTC motor phase;
IDM_;MMXU;1;DifAngMotA3;Indication of angle difference between voltage and current phases from the third OLTC motor phase;HR17034 - Indication of angle difference between voltage and current phases from the third OLTC motor phase;
IDM_;MMXN;1;Ampsv;Indication of current de linha amostrada;HR17035 - Indication of current de linha amostrada;
IDM_;MMXN;1;QAmpsv;Indication of quality of sampled line current;HR17036 - Indication of quality of sampled line current;
IDM_;LPHD;1;PhyNam;Indication of firmware release;HR17043 - Indication of firmware release;
IDM_;LPHD;1;t3;Indication of system current time timestamp - H;HR17045 - Indication of system current time timestamp - H;
IDM_;LPHD;1;PhyNam;Indication of bootloader version;HR17080 - Indication of bootloader version;
IDM_;LPHD;1;PhyNam;Indication of release do bootloader;HR17081 - Indication of release do bootloader;
IDM_;LPHD;1;t2;Indication of system current time timestamp - M;HR17046 - Indication of system current time timestamp - M;
IDM_;LPHD;1;t1;Indication of system current time timestamp - L;HR17047 - Indication of system current time timestamp - L;
IDM_;LPHD;1;Hour;Indication of quality of system time;HR17048 - Indication of quality of system time;
IDM_;MMXN;1;QDifAngMotA1;Indication of quality of angle difference between voltage and current phases from the first (or only) motor phase;HR17049 - Indication of quality of angle difference between voltage and current phases from the first (or only) motor phase;
IDM_;MMXN;1;QDifAngMotA2;Indication of quality of angle difference between voltage and current phases from the second motor phase;HR17050 - Indication of quality of angle difference between voltage and current phases from the second motor phase;
IDM_;MMXN;1;QDifAngMotA3;Indication of quality of angle difference between voltage and current phases from the third motor phase;HR17051 - Indication of quality of angle difference between voltage and current phases from the third motor phase;
IDM_;SOPM;1;OscNum;Indication of current oscillography number;HR17052 - Indication of current oscillography number;
IDM_;LPHD;1;CntLrn0;Indication of reference maneuvers countdown for type 0 learning;HR17053 - Indication of reference maneuvers countdown for type 0 learning;
IDM_;LPHD;1;CntLrn1;Indication of reference maneuvers countdown for type 1 learning;HR17054 - Indication of reference maneuvers countdown for type 1 learning;
IDM_;LPHD;1;CntLrn2;Indication of reference maneuvers countdown for type 2 learning;HR17055 - Indication of reference maneuvers countdown for type 2 learning;
IDM_;LPHD;1;CntLrn3;Indication of reference maneuvers countdown for type 3 learning;HR17056 - Indication of reference maneuvers countdown for type 3 learning;
IDM_;LPHD;1;CntLrn4;Indication of reference maneuvers countdown for type 4 learning;HR17057 - Indication of reference maneuvers countdown for type 4 learning;
IDM_;LPHD;1;CntTm;Indication of countdown timer for alarms automatic learning;HR17058 - Indication of countdown timer for alarms automatic learning;
IDM_;LPHD;1;CntLrn;Indication of reference maneuvers countdown for oscillography alarm learning;HR17059 - Indication of reference maneuvers countdown for oscillography alarm learning;
IDM_;SOPM;1;MotVPh1;Indication of motor voltage - Phase A;HR17100 - Indication of motor voltage - Phase A;
IDM_;SOPM;1;QMotVPh;Indication of quality of motor voltage - Phase A;HR17101 - Indication of quality of motor voltage - Phase A;
IDM_;SOPM;1;MotVPh2;Indication of motor voltage - Phase B;HR17102 - Indication of motor voltage - Phase B;
IDM_;SOPM;1;QMotVPh2;Indication of quality of motor voltage - Phase B;HR17103 - Indication of quality of motor voltage - Phase B;
IDM_;SOPM;1;MotVPh3;Indication of motor voltage - Phase C;HR17104 - Indication of motor voltage - Phase C;
IDM_;SOPM;1;QMotVPh3;Indication of quality of motor voltage - Phase C;HR17105 - Indication of quality of motor voltage - Phase C;
IDM_;SOPM;1;MotAPh1;Indication of motor current - Phase A;HR17106 - Indication of motor current - Phase A;
IDM_;SOPM;1;QMotAPh1;Indication of quality of motor current - Phase A;HR17107 - Indication of quality of motor current - Phase A;
IDM_;SOPM;1;MotAPh2;Indication of motor current - Phase B;HR17108 - Indication of motor current - Phase B;
IDM_;SOPM;1;QMotAPh2;Indication of quality of motor current - Phase B;HR17109 - Indication of quality of motor current - Phase B;
IDM_;SOPM;1;MotAPh3;Indication of motor current - Phase C;HR17110 - Indication of motor current - Phase C;
IDM_;SOPM;1;QMotAPh3;Indication of quality of motor current - Phase C;HR17111 - Indication of quality of motor current - Phase C;
IDM_;SOPM;1;MotPF;Indication of OLTC motor power factor;HR17112 - Indication of OLTC motor power factor;
IDM_;SOPM;1;QMotPF;Indication of quality of OLTC motor power factor;HR17113 - Indication of quality of OLTC motor power factor;
IDM_;MMXN;1;HeatCur;Indication of mechanism heating current;HR17114 - Indication of mechanism heating current;
IDM_;MMXN;1;QHeatCur;Indication of quality of mechanism heating current;HR17115 - Indication of quality of mechanism heating current;
IDM_;MMXN;1;Amp1;Indication of line current - First 3 numbers;HR17116 - Indication of line current - First 3 numbers;
IDM_;MMXN;1;Amp2;Indication of line current - Last 3 numbers;HR17117 - Indication of line current - Last 3 numbers;
IDM_;MMXN;1;QAmp;Indication of quality of line current RMS value;HR17118 - Indication of quality of line current RMS value;
IDM_;SLTC;1;CmdV;Indication of OLTC trigerring command voltage;HR17119 - Indication of OLTC trigerring command voltage;
IDM_;SLTC;1;QCmdV;Indication of quality of OLTC triggering command voltage;HR17120 - Indication of quality of OLTC triggering command voltage;
IDM_;SLTC;1;TotNumOp1;Indication of OLTC operations total number - First 3 numbers;HR17124 - Indication of OLTC operations total number - First 3 numbers;
IDM_;SLTC;1;TotNumOp2;Indication of OLTC operations total number - Last 3 numbers;HR17125 - Indication of OLTC operations total number - Last 3 numbers;
IDM_;SLTC;1;QTotNumOp1;Indication of quality of OLTC operations total number;HR17126 - Indication of quality of OLTC operations total number;
IDM_;SLTC;1;NumOp1;Indication of OLTC operations number since last maintenance - First 3 numbers;HR17127 - Indication of OLTC operations number since last maintenance - First 3 numbers;
IDM_;SLTC;1;NumOp2;Indication of OLTC operations number since last maintenance - Last 3 numbers;HR17128 - Indication of OLTC operations number since last maintenance - Last 3 numbers;
IDM_;SLTC;1;QNumOp;Indication of quality of OLTC operations number since last maintenance;HR17129 - Indication of quality of OLTC operations number since last maintenance;
IDM_;SLTC;1;AvNumOp;Indication of OLTC operations daily average;HR17130 - Indication of OLTC operations daily average;
IDM_;SLTC;1;QAvNumOp;Indication of quality of OLTC operations daily average;HR17131 - Indication of quality of OLTC operations daily average;
IDM_;SLTC;1;TmMtnOp;Indication of remaining time to perform maintenance by number of OLTC operations;HR17132 - Indication of remaining time to perform maintenance by number of OLTC operations;
IDM_;SLTC;1;QTmMtnOp;Indication of quality of remaining time to perform maintenance by number of OLTC operations;HR17133 - Indication of quality of remaining time to perform maintenance by number of OLTC operations;
IDM_;MMXN;1;TotAmpI1;Indication of switched current integration total - First 3 numbers;HR17134 - Indication of switched current integration total - First 3 numbers;
IDM_;MMXN;1;TotAmpI2;Indication of switched current integration total - Last 3 numbers;HR17135 - Indication of switched current integration total - Last 3 numbers;
IDM_;MMXN;1;QTotAmpI;Indication of quality of switched current integration total;HR17136 - Indication of quality of switched current integration total;
IDM_;MMXN;1;AmpIOp1;Indication of switched current integration since last maintenance - First 3 numbers;HR17137 - Indication of switched current integration since last maintenance - First 3 numbers;
IDM_;MMXN;1;AmpIOp2;Indication of switched current integration since last maintenance - Last 3 numbers;HR17138 - Indication of switched current integration since last maintenance - Last 3 numbers;
IDM_;MMXN;1;QAmpIOp;Indication of quality of switched current integration since last maintenance;HR17139 - Indication of quality of switched current integration since last maintenance;
IDM_;MMXN;1;AvIncrAmp1;Indication of daily average of switched current increment - First 3 numbers;HR17140 - Indication of daily average of switched current increment - First 3 numbers;
IDM_;MMXN;1;AvIncrAmp2;Indication of daily average of switched current increment - Last 3 numbers;HR17141 - Indication of daily average of switched current increment - Last 3 numbers;
IDM_;MMXN;1;QAvIncrAmp;Indication of quality of daily average of switched current increment;HR17142 - Indication of quality of daily average of switched current increment;
IDM_;MMXN;1;TmMtnAmpI;Indication of remaining time for maintenance by switched current integration;HR17143 - Indication of remaining time for maintenance by switched current integration;
IDM_;MMXN;1;QTmMtnAmpI;Indication of quality of remaining time for maintenance by switched current integration;HR17144 - Indication of quality of remaining time for maintenance by switched current integration;
IDM_;SLTC;1;TotTmSvc;Indication of total time of in service OLTC;HR17145 - Indication of total time of in service OLTC;
IDM_;SLTC;1;QTotTmSvc;Indication of quality of total time of in service OLTC;HR17146 - Indication of quality of total time of in service OLTC;
IDM_;SLTC;1;TmSvc;Indication of in service OLTC time since last maintenance;HR17147 - Indication of in service OLTC time since last maintenance;
IDM_;SLTC;1;QTmSvc;Indication of quality of in service OLTC time since last maintenance;HR17148 - Indication of quality of in service OLTC time since last maintenance;
IDM_;SLTC;1;TmMtnSvc;Indication of remaining time for maintenance by OLTC in service time;HR17149 - Indication of remaining time for maintenance by OLTC in service time;
IDM_;SLTC;1;QTmMtnSvc;Indication of quality of remaining time for maintenance by OLTC in service time;HR17150 - Indication of quality of remaining time for maintenance by OLTC in service time;
IDM_;SOPM;1;TmOp;Indication of motor operation time on last operation;HR17151 - Indication of motor operation time on last operation;
IDM_;SOPM;1;QTmOp;Indication of quality of motor operation time on last operation;HR17152 - Indication of quality of motor operation time on last operation;
IDM_;SLTC;1;LastTapPos1;Indication of OLTC previous tap position;HR17153 - Indication of OLTC previous tap position;
IDM_;SLTC;1;LastTapPos2;Indication of quality of OLTC previous tap position;HR17154 - Indication of quality of OLTC previous tap position;
IDM_;SLTC;1;StTmMtnOp;Indication of status of remaining time to perform maintenance by OLTC operation number;HR17155B0 - Indication of status of remaining time to perform maintenance by OLTC operation number;
IDM_;SLTC;1;QStTmMtnOp;Indication of quality of status of remaining time to perform maintenance by OLTC operation number;HR17155B1 - Indication of quality of status of remaining time to perform maintenance by OLTC operation number;
IDM_;SLTC;1;StTmMtnAmpI;Indication of status of remaining time to perform maintenance by switched current integration;HR17156B0 - Indication of status of remaining time to perform maintenance by switched current integration;
IDM_;SLTC;1;QStTmMtnAmpI;Indication of quality of status of remaining time to perform maintenance by switched current integration;HR17156B1 - Indication of quality of status of remaining time to perform maintenance by switched current integration;
IDM_;SLTC;1;StTmMtnSvc;Indication of status of remaining time to perform maintenance by OLTC in service time;HR17157B0 - Indication of status of remaining time to perform maintenance by OLTC in service time;
IDM_;SLTC;1;QStTmMtnSvc;Indication of quality of status of remaining time to perform maintenance by OLTC in service time;HR17157B1 - Indication of quality of status of remaining time to perform maintenance by OLTC in service time;
IDM_;SLTC;1;St;Indication of OLTC general state;HR17158 - Indication of OLTC general state;
IDM_;SLTC;1;QSt;Indication of quality of OLTC general state;HR17159 - Indication of quality of OLTC general state;
IDM_;SOPM;1;MotPPV1;Indication of voltage between phases - A and B;HR17162 - Indication of voltage between phases - A and B;
IDM_;SOPM;1;QMotPPV1;Indication of quality of voltage between phases - A and B;HR17163 - Indication of quality of voltage between phases - A and B;
IDM_;SOPM;1;MotPPV2;Indication of tensão entre phases - B e C;HR17164 - Indication of tensão entre phases - B e C;
IDM_;SOPM;1;QMotPPV2;Indication of quality of voltage between phases - B e C;HR17165 - Indication of quality of voltage between phases - B e C;
IDM_;SOPM;1;MotPPV3;Indication of voltage between phases - A e C;HR17166 - Indication of voltage between phases - A e C;
IDM_;SOPM;1;QMotPPV3;Indication of quality of voltage between phases - A e C;HR17167 - Indication of quality of voltage between phases - A e C;
IDM_;LPHD;1;oMem;Indication of optional - Mass memory;HR17011B1 - Indication of optional - Mass memory;
IDM_;LPHD;1;oMecTmp;Indication of optional - HTCV - Mechanism temperature;HR17011B2 - Indication of optional - HTCV - Mechanism temperature;
IDM_;LPHD;1;oMecAmp;Indication of optional - HTCV - Mechanism current;HR17011B3 - Indication of optional - HTCV - Mechanism current;
IDM_;LPHD;1;oMotCtlV;Indication of optional - HTCV - Motor control circuit voltage;HR17011B4 - Indication of optional - HTCV - Motor control circuit voltage;
IDM_;LPHD;1;oTapPos;Indication of optional - Tap position;HR17011B5 - Indication of optional - Tap position;
IDM_;LPHD;1;oAmp;Indication of optional - Line current;HR17011B6 - Indication of optional - Line current;
IDM_;LPHD;1;oLTCMtn;Indication of optional - OLTC maintenance;HR17011B7 - Indication of optional - OLTC maintenance;
IDM_;LPHD;1;LastOsc;Indication of downloaded oscillography last number;HR17013 - Indication of downloaded oscillography last number;
IDM_;SOPM;1;LastOscTyp;Indication of last generated oscillography type;HR17014 - Indication of last generated oscillography type;
IDM_;SLTC;1;HysAlmSet;Parameter of activation hysteresis of alarms and warnings;HR19000 - Parameter of activation hysteresis of alarms and warnings;
IDM_;SOPM;1;MotVRtgSet;Parameter of rated voltage of motor powering;HR19001 - Parameter of rated voltage of motor powering;
IDM_;SLTC;1;TapPosSet;Parameter of enable or disable OLTC tap position measurement;HR19002 - Parameter of enable or disable OLTC tap position measurement;
IDM_;SOPM;1;MotVSet1;Parameter of selection of motor powering voltage type;HR19003 - Parameter of selection of motor powering voltage type;
IDM_;SOPM;1;MotVSet2;Parameter of enable or disable motor powering voltage monitoring;HR19004 - Parameter of enable or disable motor powering voltage monitoring;
IDM_;SOPM;1;MotAmpSet1;Parameter of enable or disable motor current monitoring;HR19005 - Parameter of enable or disable motor current monitoring;
IDM_;SOPM;1;RlSet;Parameter of TP transformation ratio or voltage divisor for motor voltage measurement;HR19006 - Parameter of TP transformation ratio or voltage divisor for motor voltage measurement;
IDM_;SOPM;1;RlCTSet1;Parameter of TC transformation ratio or shunt 1 current divisor for motor current measurement;HR19007 - Parameter of TC transformation ratio or shunt 1 current divisor for motor current measurement;
IDM_;SLTC;1;DbcSet;Parameter of input contacts debouncing time;HR19010 - Parameter of input contacts debouncing time;
IDM_;SLTC;1;EnvTmpSet;Parameter of enable or disable ambient temperature monitoring;HR19011 - Parameter of enable or disable ambient temperature monitoring;
IDM_;SOPM;1;MecTmpSet;Parameter of habilitar ou desabilitar monitoração da temperatura do mecanismo;HR19012 - Parameter of habilitar ou desabilitar monitoração da temperatura do mecanismo;
IDM_;SLTC;1;LoMecTmpSpt1;Parameter of alarm value by OLTC triggering temperature mechanism - Low;HR19013 - Parameter of alarm value by OLTC triggering temperature mechanism - Low;
IDM_;SLTC;1;LoMecTmpSpt2;Parameter of alarm value by OLTC triggering temperature mechanism - Very low;HR19014 - Parameter of alarm value by OLTC triggering temperature mechanism - Very low;
IDM_;SLTC;1;HiMecTmpSpt1;Parameter of alarm value by OLTC triggering temperature mechanism - High;HR19015 - Parameter of alarm value by OLTC triggering temperature mechanism - High;
IDM_;SLTC;1;HiMecTmpSpt2;Parameter of alarm value by OLTC triggering temperature mechanism - Very high;HR19016 - Parameter of alarm value by OLTC triggering temperature mechanism - Very high;
IDM_;SOPM;1;MecTmpTmSet;Parameter of alarm temporization by mechanism temperature;HR19017 - Parameter of alarm temporization by mechanism temperature;
IDM_;SOPM;1;HeatASet1;Parameter of enable mechanism heater current monitoration and selection it's supply voltage;HR19018 - Parameter of enable mechanism heater current monitoration and selection it's supply voltage;
IDM_;SOPM;1;MecRlCTSet1;Parameter of shunt current divider or CT transformation ratio to measure the mechanism current (input/output);HR19019 - Parameter of shunt current divider or CT transformation ratio to measure the mechanism current (input/output);
IDM_;SOPM;1;mMinMecASet;Parameter of valor de alarme manual de current mínima do aquecedor do mecanismo com temperatura do mecanismo - High;HR19020 - Parameter of valor de alarme manual de current mínima do aquecedor do mecanismo com temperatura do mecanismo - High;
IDM_;SOPM;1;mMaxMecASet;Parameter of valor de alarme manual de current máxima do aquecedor do mecanismo com temperatura do mecanismo - Low;HR19021 - Parameter of valor de alarme manual de current máxima do aquecedor do mecanismo com temperatura do mecanismo - Low;
IDM_;SOPM;1;TmpSet1;Parameter of below temperature of which the mechanism heating resistence is (connected) or has an raised power;HR19022 - Parameter of below temperature of which the mechanism heating resistence is (connected) or has an raised power;
IDM_;SOPM;1;TmpSet2;Parameter of above temperature of which the mechanism heating resistence is (connected) or has an raised power;HR19023 - Parameter of above temperature of which the mechanism heating resistence is (connected) or has an raised power;
IDM_;SOPM;1;TmAlmSet1;Parameter of alarm temporization for triggering mechanism heater current depending on the temperature of the mechanism - High or low;HR19024 - Parameter of alarm temporization for triggering mechanism heater current depending on the temperature of the mechanism - High or low;
IDM_;MMXN;1;AmpSet1;Parameter of enabling line current monitor;HR19025 - Parameter of enabling line current monitor;
IDM_;MMXN;1;AmpRlCTSet1;Parameter of auxiliary CT transmormation ratio;HR19026 - Parameter of auxiliary CT transmormation ratio;
IDM_;MMXN;1;AmpRlCTSet2;Parameter of high voltage CT transmormation ratio;HR19027 - Parameter of high voltage CT transmormation ratio;
IDM_;SLTC;1;CmdVSet1;Parameter of selection of OLTC command voltage;HR19028 - Parameter of selection of OLTC command voltage;
IDM_;SOPM;1;RlSet2;Parameter of voltage divider or TP transformation ratio to measure the command voltage;HR19029 - Parameter of voltage divider or TP transformation ratio to measure the command voltage;
IDM_;SOPM;1;TmAlmSet2;Parameter of alarm temporization for under and overvoltage on the command and motor voltages;HR19030 - Parameter of alarm temporization for under and overvoltage on the command and motor voltages;
IDM_;SOPM;1;mMotVWrnSpt1;Parameter of manual alarm value for motor voltage - Low;HR19031 - Parameter of manual alarm value for motor voltage - Low;
IDM_;SOPM;1;mMotVAlmSpt1;Parameter of manual alarm value for motor voltage - Very low;HR19032 - Parameter of manual alarm value for motor voltage - Very low;
IDM_;SOPM;1;mMotVWrnSpt2;Parameter of manual alarm value for motor voltage - High;HR19033 - Parameter of manual alarm value for motor voltage - High;
IDM_;SOPM;1;mMotVAlmSpt2;Parameter of manual alarm value for motor voltage - Very high;HR19034 - Parameter of manual alarm value for motor voltage - Very high;
IDM_;SLTC;1;mCmdVWrnSpt1;Parameter of manual alarm value for command voltage - Low;HR19035 - Parameter of manual alarm value for command voltage - Low;
IDM_;SLTC;1;mCmdVAlmSpt1;Parameter of manual alarm value for command voltage - Very low;HR19036 - Parameter of manual alarm value for command voltage - Very low;
IDM_;SLTC;1;mCmdVWrnSpt2;Parameter of manual alarm value for command voltage - High;HR19037 - Parameter of manual alarm value for command voltage - High;
IDM_;SLTC;1;mCmdVAlmSpt2;Parameter of manual alarm value for command voltage - Very high;HR19038 - Parameter of manual alarm value for command voltage - Very high;
IDM_;SLTC;1;PswSet;Parameter of new password to access the user menu;HR19046 - Parameter of new password to access the user menu;
IDM_;SLTC;1;RlCTSet2;Parameter of TC ratio or shunt 2 current divisor for motor current measurement;HR19048 - Parameter of TC ratio or shunt 2 current divisor for motor current measurement;
